minLiquidity,minVolume,minVLratio,detected,tradedPools,totalPL,avgPL,winRate
20000,5000,0.01,0,0,0,0,0
20000,5000,0.02,0,0,0,0,0
20000,5000,0.05,0,0,0,0,0
20000,5000,0.08,0,0,0,0,0
20000,5000,0.1,0,0,0,0,0
20000,10000,0.01,0,0,0,0,0
20000,10000,0.02,0,0,0,0,0
20000,10000,0.05,0,0,0,0,0
20000,10000,0.08,0,0,0,0,0
20000,10000,0.1,0,0,0,0,0
20000,20000,0.01,0,0,0,0,0
20000,20000,0.02,0,0,0,0,0
20000,20000,0.05,0,0,0,0,0
20000,20000,0.08,0,0,0,0,0
20000,20000,0.1,0,0,0,0,0
20000,50000,0.01,0,0,0,0,0
20000,50000,0.02,0,0,0,0,0
20000,50000,0.05,0,0,0,0,0
20000,50000,0.08,0,0,0,0,0
20000,50000,0.1,0,0,0,0,0
20000,100000,0.01,0,0,0,0,0
20000,100000,0.02,0,0,0,0,0
20000,100000,0.05,0,0,0,0,0
20000,100000,0.08,0,0,0,0,0
20000,100000,0.1,0,0,0,0,0
50000,5000,0.01,0,0,0,0,0
50000,5000,0.02,0,0,0,0,0
50000,5000,0.05,0,0,0,0,0
50000,5000,0.08,0,0,0,0,0
50000,5000,0.1,0,0,0,0,0
50000,10000,0.01,0,0,0,0,0
50000,10000,0.02,0,0,0,0,0
50000,10000,0.05,0,0,0,0,0
50000,10000,0.08,0,0,0,0,0
50000,10000,0.1,0,0,0,0,0
50000,20000,0.01,0,0,0,0,0
50000,20000,0.02,0,0,0,0,0
50000,20000,0.05,0,0,0,0,0
50000,20000,0.08,0,0,0,0,0
50000,20000,0.1,0,0,0,0,0
50000,50000,0.01,0,0,0,0,0
50000,50000,0.02,0,0,0,0,0
50000,50000,0.05,0,0,0,0,0
50000,50000,0.08,0,0,0,0,0
50000,50000,0.1,0,0,0,0,0
50000,100000,0.01,0,0,0,0,0
50000,100000,0.02,0,0,0,0,0
50000,100000,0.05,0,0,0,0,0
50000,100000,0.08,0,0,0,0,0
50000,100000,0.1,0,0,0,0,0
100000,5000,0.01,0,0,0,0,0
100000,5000,0.02,0,0,0,0,0
100000,5000,0.05,0,0,0,0,0
100000,5000,0.08,0,0,0,0,0
100000,5000,0.1,0,0,0,0,0
100000,10000,0.01,0,0,0,0,0
100000,10000,0.02,0,0,0,0,0
100000,10000,0.05,0,0,0,0,0
100000,10000,0.08,0,0,0,0,0
100000,10000,0.1,0,0,0,0,0
100000,20000,0.01,0,0,0,0,0
100000,20000,0.02,0,0,0,0,0
100000,20000,0.05,0,0,0,0,0
100000,20000,0.08,0,0,0,0,0
100000,20000,0.1,0,0,0,0,0
100000,50000,0.01,0,0,0,0,0
100000,50000,0.02,0,0,0,0,0
100000,50000,0.05,0,0,0,0,0
100000,50000,0.08,0,0,0,0,0
100000,50000,0.1,0,0,0,0,0
100000,100000,0.01,0,0,0,0,0
100000,100000,0.02,0,0,0,0,0
100000,100000,0.05,0,0,0,0,0
100000,100000,0.08,0,0,0,0,0
100000,100000,0.1,0,0,0,0,0
150000,5000,0.01,0,0,0,0,0
150000,5000,0.02,0,0,0,0,0
150000,5000,0.05,0,0,0,0,0
150000,5000,0.08,0,0,0,0,0
150000,5000,0.1,0,0,0,0,0
150000,10000,0.01,0,0,0,0,0
150000,10000,0.02,0,0,0,0,0
150000,10000,0.05,0,0,0,0,0
150000,10000,0.08,0,0,0,0,0
150000,10000,0.1,0,0,0,0,0
150000,20000,0.01,0,0,0,0,0
150000,20000,0.02,0,0,0,0,0
150000,20000,0.05,0,0,0,0,0
150000,20000,0.08,0,0,0,0,0
150000,20000,0.1,0,0,0,0,0
150000,50000,0.01,0,0,0,0,0
150000,50000,0.02,0,0,0,0,0
150000,50000,0.05,0,0,0,0,0
150000,50000,0.08,0,0,0,0,0
150000,50000,0.1,0,0,0,0,0
150000,100000,0.01,0,0,0,0,0
150000,100000,0.02,0,0,0,0,0
150000,100000,0.05,0,0,0,0,0
150000,100000,0.08,0,0,0,0,0
150000,100000,0.1,0,0,0,0,0
200000,5000,0.01,0,0,0,0,0
200000,5000,0.02,0,0,0,0,0
200000,5000,0.05,0,0,0,0,0
200000,5000,0.08,0,0,0,0,0
200000,5000,0.1,0,0,0,0,0
200000,10000,0.01,0,0,0,0,0
200000,10000,0.02,0,0,0,0,0
200000,10000,0.05,0,0,0,0,0
200000,10000,0.08,0,0,0,0,0
200000,10000,0.1,0,0,0,0,0
200000,20000,0.01,0,0,0,0,0
200000,20000,0.02,0,0,0,0,0
200000,20000,0.05,0,0,0,0,0
200000,20000,0.08,0,0,0,0,0
200000,20000,0.1,0,0,0,0,0
200000,50000,0.01,0,0,0,0,0
200000,50000,0.02,0,0,0,0,0
200000,50000,0.05,0,0,0,0,0
200000,50000,0.08,0,0,0,0,0
200000,50000,0.1,0,0,0,0,0
200000,100000,0.01,0,0,0,0,0
200000,100000,0.02,0,0,0,0,0
200000,100000,0.05,0,0,0,0,0
200000,100000,0.08,0,0,0,0,0
200000,100000,0.1,0,0,0,0,0
